label,true_count,true_positives,false_negatives,recall
A,65,63,2,0.9692307692307692
B,71,71,0,1.0
C,57,57,0,1.0
D,67,67,0,1.0
E,66,64,2,0.9696969696969697
F,77,77,0,1.0
G,63,63,0,1.0
H,69,68,1,0.9855072463768116
I,66,63,3,0.9545454545454546
J,62,57,5,0.9193548387096774
