model,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
Decision Tree,1.0,0.9336349924585219,1.0,0.9323033749346182,0.933903703168981,0.9323033749346182,0.9326051447270054
Logistic Regression,0.9920724801812004,0.9803921568627451,0.9918831984301695,0.9798335278559683,0.9798683585028799,0.9798335278559683,0.9797915255406148
kNN,1.0,0.971342383107089,1.0,0.9703795051761391,0.9709440697198441,0.9703795051761391,0.9703714934331071
