label,true_count,true_positives,false_negatives,recall
A,65,61,4,0.9384615384615385
B,71,63,8,0.8873239436619719
C,57,52,5,0.9122807017543859
D,67,66,1,0.9850746268656716
E,66,58,8,0.8787878787878788
F,77,75,2,0.974025974025974
G,63,62,1,0.9841269841269841
H,69,69,0,1.0
I,66,61,5,0.9242424242424242
J,62,52,10,0.8387096774193549
